0.000	0.000	0.000	0.000	0.000
0.010	2.000	17.000	29.000	-205.000
0.020	2.000	19.000	32.000	-85.000
0.030	1.000	20.000	34.000	179.000
0.040	0.000	21.000	36.000	443.000
0.050	0.000	21.000	37.000	587.000
0.060	0.000	21.000	38.000	743.000
0.070	4.000	21.000	38.000	438.000
0.080	9.000	21.000	38.000	95.000
0.090	15.000	21.000	38.000	-292.000
0.100	20.000	22.000	38.000	-498.000
0.110	24.000	23.000	38.000	-571.000
0.120	26.000	24.000	37.000	-432.000
0.130	26.000	26.000	35.000	-130.000
0.140	26.000	28.000	34.000	64.000
0.150	25.000	30.000	32.000	280.000
0.160	24.000	31.000	31.000	390.000
0.170	23.000	32.000	31.000	409.000
0.180	23.000	32.000	30.000	231.000
0.190	23.000	32.000	30.000	6.000
0.200	23.000	32.000	30.000	-263.000
0.210	24.000	30.000	30.000	-686.000
0.220	24.000	28.000	30.000	-1004.000
0.230	21.000	25.000	32.000	-1003.000
0.240	15.000	23.000	33.000	-736.000
0.250	7.000	21.000	34.000	-361.000
0.260	-2.000	19.000	35.000	2.000
0.270	-11.000	17.000	35.000	253.000
0.280	-19.000	14.000	36.000	314.000
0.290	-26.000	11.000	36.000	237.000
0.300	-31.000	7.000	36.000	-55.000
0.310	-34.000	3.000	34.000	-505.000
0.320	-37.000	-1.000	32.000	-840.000
0.330	-40.000	-6.000	28.000	-1068.000
0.340	-46.000	-11.000	23.000	-845.000
0.350	-52.000	-16.000	17.000	-587.000
0.360	-59.000	-21.000	10.000	-166.000
0.370	-66.000	-27.000	2.000	289.000
0.380	-71.000	-34.000	-7.000	556.000
0.390	-74.000	-41.000	-16.000	685.000
0.400	-75.000	-49.000	-26.000	709.000
0.410	-74.000	-57.000	-37.000	656.000
0.420	-69.000	-65.000	-48.000	309.000
0.430	-63.000	-73.000	-58.000	70.000
0.440	-56.000	-79.000	-69.000	-87.000
0.450	-50.000	-85.000	-80.000	47.000
0.460	-45.000	-89.000	-91.000	409.000
0.470	-41.000	-91.000	-100.000	949.000
0.480	-36.000	-91.000	-109.000	1391.000
0.490	-29.000	-91.000	-117.000	1625.000
0.500	-21.000	-91.000	-123.000	1790.000
0.510	-10.000	-87.000	-127.000	1645.000
0.520	2.000	-82.000	-128.000	1458.000
0.530	17.000	-76.000	-128.000	977.000
0.540	31.000	-69.000	-127.000	693.000
0.550	45.000	-59.000	-122.000	421.000
0.560	57.000	-49.000	-114.000	365.000
0.570	67.000	-36.000	-101.000	455.000
0.580	75.000	-22.000	-85.000	642.000
0.590	81.000	-6.000	-67.000	884.000
0.600	86.000	11.000	-45.000	1036.000
0.610	90.000	28.000	-21.000	1098.000
0.620	95.000	46.000	5.000	837.000
0.630	100.000	65.000	34.000	415.000
0.640	105.000	83.000	64.000	-152.000
0.650	109.000	102.000	94.000	-733.000
0.660	111.000	121.000	126.000	-1217.000
0.670	112.000	140.000	157.000	-1743.000
0.680	110.000	158.000	188.000	-2070.000
0.690	103.000	175.000	216.000	-1995.000
0.700	92.000	191.000	244.000	-1697.000
0.710	80.000	205.000	270.000	-1546.000
0.720	67.000	217.000	293.000	-1491.000
0.730	54.000	225.000	313.000	-1603.000
0.740	42.000	230.000	330.000	-1939.000
0.750	29.000	231.000	342.000	-2199.000
0.760	17.000	230.000	350.000	-2597.000
0.770	3.000	223.000	353.000	-2728.000
0.780	-11.000	213.000	353.000	-2841.000
0.790	-27.000	198.000	347.000	-2671.000
0.800	-45.000	181.000	334.000	-2233.000
0.810	-64.000	160.000	315.000	-1654.000
0.820	-81.000	136.000	289.000	-1269.000
0.830	-98.000	108.000	256.000	-771.000
0.840	-111.000	78.000	218.000	-613.000
0.850	-122.000	46.000	175.000	-469.000
0.860	-130.000	11.000	128.000	-428.000
0.870	-135.000	-25.000	74.000	-450.000
0.880	-138.000	-61.000	17.000	-393.000
0.890	-141.000	-99.000	-42.000	-29.000
0.900	-142.000	-135.000	-102.000	359.000
0.910	-143.000	-171.000	-161.000	1003.000
0.920	-143.000	-206.000	-220.000	1739.000
0.930	-140.000	-239.000	-278.000	2312.000
0.940	-134.000	-270.000	-333.000	2743.000
0.950	-123.000	-299.000	-383.000	2808.000
0.960	-110.000	-324.000	-433.000	2899.000
0.970	-94.000	-345.000	-477.000	2864.000
0.980	-76.000	-362.000	-513.000	2807.000
0.990	-58.000	-374.000	-545.000	2924.000
1.000	-40.000	-380.000	-565.000	3141.000
1.010	-22.000	-381.000	-576.000	3397.000
1.020	-5.000	-376.000	-581.000	3757.000
1.030	12.000	-364.000	-578.000	4042.000
1.040	30.000	-346.000	-566.000	4103.000
1.050	48.000	-321.000	-543.000	4053.000
1.060	67.000	-291.000	-509.000	3751.000
1.070	86.000	-255.000	-467.000	3313.000
1.080	104.000	-214.000	-414.000	2836.000
1.090	120.000	-169.000	-352.000	2402.000
1.100	136.000	-118.000	-284.000	1732.000
1.110	148.000	-65.000	-209.000	1302.000
1.120	159.000	-8.000	-125.000	690.000
1.130	166.000	51.000	-38.000	258.000
1.140	172.000	110.000	51.000	-391.000
1.150	175.000	171.000	146.000	-993.000
1.160	176.000	230.000	244.000	-1677.000
1.170	176.000	288.000	336.000	-2538.000
1.180	171.000	343.000	428.000	-3068.000
1.190	163.000	394.000	516.000	-3546.000
1.200	152.000	441.000	597.000	-3954.000
1.210	139.000	483.000	677.000	-4389.000
1.220	125.000	519.000	745.000	-4926.000
1.230	110.000	547.000	800.000	-5502.000
1.240	94.000	568.000	844.000	-6065.000
1.250	75.000	582.000	881.000	-6335.000
1.260	55.000	587.000	902.000	-6546.000
1.270	31.000	586.000	911.000	-6304.000
1.280	4.000	574.000	910.000	-5748.000
1.290	-24.000	553.000	894.000	-5106.000
1.300	-52.000	522.000	864.000	-4445.000
1.310	-80.000	482.000	819.000	-3706.000
1.320	-105.000	433.000	760.000	-3193.000
1.330	-128.000	375.000	692.000	-2693.000
1.340	-145.000	310.000	606.000	-2619.000
1.350	-160.000	238.000	509.000	-2388.000
1.360	-172.000	160.000	403.000	-2112.000
1.370	-182.000	78.000	285.000	-1655.000
1.380	-191.000	-6.000	158.000	-914.000
1.390	-198.000	-91.000	24.000	-42.000
1.400	-205.000	-176.000	-113.000	1179.000
1.410	-209.000	-260.000	-244.000	2339.000
1.420	-209.000	-341.000	-377.000	3331.000
1.430	-207.000	-419.000	-511.000	4404.000
1.440	-198.000	-493.000	-638.000	4942.000
1.450	-183.000	-561.000	-753.000	5129.000
1.460	-164.000	-623.000	-861.000	5220.000
1.470	-142.000	-677.000	-963.000	5297.000
1.480	-118.000	-721.000	-1044.000	5423.000
1.490	-95.000	-755.000	-1114.000	5876.000
1.500	-81.000	-779.000	-1170.000	7461.000
1.510	-82.000	-792.000	-1201.000	10607.000
1.520	-100.000	-794.000	-1219.000	13107.000
1.530	-134.000	-789.000	-1222.000	13107.000
1.540	-183.000	-774.000	-1203.000	13107.000
1.550	-244.000	-755.000	-1168.000	13107.000
1.560	-315.000	-733.000	-1116.000	13107.000
1.570	-395.000	-710.000	-1046.000	13107.000
1.580	-482.000	-690.000	-955.000	13107.000
1.590	-571.000	-672.000	-857.000	13107.000
1.600	-661.000	-659.000	-751.000	13107.000
1.610	-751.000	-650.000	-638.000	13107.000
1.620	-836.000	-644.000	-527.000	13107.000
1.630	-915.000	-642.000	-423.000	13107.000
1.640	-988.000	-641.000	-321.000	13107.000
1.650	-1051.000	-641.000	-236.000	13107.000
1.660	-1104.000	-641.000	-169.000	13107.000
1.670	-1144.000	-641.000	-120.000	13107.000
1.680	-1172.000	-641.000	-94.000	13107.000
1.690	-1187.000	-640.000	-89.000	13107.000
1.700	-1189.000	-638.000	-103.000	13107.000
1.710	-1177.000	-637.000	-141.000	13107.000
1.720	-1150.000	-637.000	-201.000	13107.000
1.730	-1112.000	-641.000	-278.000	13107.000
1.740	-1063.000	-651.000	-369.000	9939.000
1.750	-1005.000	-666.000	-468.000	1759.000
1.760	-939.000	-688.000	-580.000	-6189.000
1.770	-869.000	-716.000	-694.000	-13107.000
1.780	-795.000	-751.000	-801.000	-13107.000
1.790	-721.000	-789.000	-909.000	-13107.000
1.800	-649.000	-830.000	-1015.000	-13107.000
1.810	-581.000	-873.000	-1107.000	-13107.000
1.820	-521.000	-914.000	-1189.000	-13107.000
1.830	-471.000	-950.000	-1255.000	-13107.000
1.840	-432.000	-981.000	-1317.000	-13107.000
1.850	-406.000	-1004.000	-1361.000	-13107.000
1.860	-394.000	-1018.000	-1381.000	-13107.000
1.870	-395.000	-1022.000	-1390.000	-13107.000
